GENSPECIES,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,TOLERANCE,FEEDINGHAB,NBI-P_TOLERANCE,NBI-N_TOLERANCE
Clinotanypus sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,PR,,
Coelotanypus scapularis,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,4,PR,,
Coelotanypus sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,4,PR,,
Conchapelopia aleta,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,PR,,
Conchapelopia americana,ANTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,PR,,
Conchapelopia dusena,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,PR,,
Conchapelopia goniodes,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,PR,,
Conchapelopia rurika,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,PR,,
Conchapelopia telema,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,PR,,
Conchapelopia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,PR,,
Guttipelopia guttipennis,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,5,PR,,
Guttipelopia sp.,ARTHROPODA,INSECTA,DIPTERA,Chronomidae,Tanypodinae,5,PR,,
Hayesomyia senata,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,PR,,
Hayesomyia sp.,ARTHROPODA,INSECTA,DIPTERA,Chrionomidae,Tanypodinae,6,PR,,
Helopelopia cornuticaudata,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,PR,,
Helopelopia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,PR,,
Hudsonimyia karelena,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,2,PR,,
Hudsonimyia parrishi,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,2,PR,,
Hudsonimyia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,2,PR,,
Krenopelopia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,4,PR,,
Labrundinia pilosella,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,7,PR,,
Labrundinia nr. virescens,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,7,PR,,
Labrundinia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,7,PR,,
Larsia canadensis,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,PR,,
Larsia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,PR,,
Macropelopia decedens,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,9,PR,,
Macropelopia sp.,ARTHROPODA,INSECTA,DIPTERA,Chrionomidae,Tanypodinae,9,PR,,
Meropelopia americana,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,PR,,
Meropelopia flavifrons,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,PR,,
Meropelopia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,PR,,
Natarsia baltimorea,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,PR,,
Natarsia sp. A,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,PR,,
Natarsia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,PR,,
Nilotanypus fimbriatus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,PR,,
Nilotanypus sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,PR,,
Helisoma anceps,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Planorbidae,,6,SC,,
Helisoma campanulata,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Planorbidae,,6,SC,,
Helisoma trivolvis,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Planorbidae,,6,SC,,
Helisoma sp.,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Planorbidae,,6,SC,,
Micromenetus dilatatus,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Planorbidae,,6,SC,,
Micromenetus sp.,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Planorbidae,,6,SC,,
Undetermined Planorbidae,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Planorbidae,,6,SC,,
Ferrissia parallela,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Ancylidae,,6,SC,,
Ferrissia rivularis,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Ancylidae,,6,SC,,
Ferrissia walkeri,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Ancylidae,,6,SC,,
Ferrissia sp.,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Ancylidae,,6,SC,9,5
Undetermined Ancylidae,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Ancylidae,,6,SC,,
Campeloma decisum,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Viviparidae,,6,SC,,
Campeloma sp.,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Viviparidae,,6,SC,,
Viviparus georgianus,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Viviparidae,,6,SC,,
Paramerina sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,PR,,
Pentaneura inconspicua,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,PR,,
Pentaneura sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,PR,0,1
Procladius bellus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,9,PR,,
Procladius sublettei,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,9,PR,,
Procladius (Holotanypus) sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,7,PR,,
Procladius sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,9,PR,,
Psectrotanypus dyari,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,10,PR,,
Psectrotanypus sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,10,PR,,
Rheopelopia acra gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,4,PR,,
Rheopelopia sp. 2,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,4,PR,,
Rheopelopia sp. 3,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,4,PR,,
Rheopelopia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,4,PR,,
Tanypus neopunctipennis,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,10,PR,,
Tanypus punctipennis,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,10,PR,,
Tanypus stellatus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,10,PR,,
Tanypus sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,10,PR,,
Telopelopia okoboji,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,PR,,
Telopelopia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,PR,,
Thienemannimyia gr. spp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,PR,8,8
Thienemannimyia norena,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,PR,,
Thienemannimyia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,PR,,
Trissopelopia ogemawi,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,4,PR,,
Trissopelopia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,4,PR,,
Zavrelimyia sinuosa,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,PR,,
Zavrelimyia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,PR,,
Undetermined Tanypodinae,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,7,PR,,
Paraboreochlus sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Podonominae,1,CG,,
Diamesa sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Diamesinae,5,CG,10,10
Pagastia orthogonia,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Diamesinae,1,CG,4,8
Potthastia gaedii gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Diamesinae,2,CG,9,10
Potthastia longimana gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Diamesinae,2,CG,,
Potthastia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Diamesinae,2,CG,,
Pseudokiefferiella sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Diamesinae,1,CG,,
Sympotthastia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Diamesinae,2,CG,,
Undetermined Diamesinae,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Diamesinae,2,CG,,
Monodiamesa sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Prodiamesinae,7,CG,,
Odontomesa fulva,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Prodiamesinae,5,CG,,
Odontomesa sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Prodiamesinae,5,CG,,
Prodiamesa olivacea,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Prodiamesinae,8,CG,,
Prodiamesa sp. 2,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Prodiamesinae,8,CG,,
Prodiamesa sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Prodiamesinae,8,CG,,
Undetermined Prodiamesinae,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Prodiamesinae,8,CG,,
Acricotopus nitidellus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,10,CG,,
Acricotopus sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,10,CG,,
Brillia flavifrons,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,SH,,
Brillia parva,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,SH,,
Brillia sera,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,SH,,
Brillia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,SH,,
Camptocladius sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,8,CG,,
Cardiocladius albiplumus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,PR,,
Cardiocladius obscurus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,PR,8,6
Cardiocladius sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,PR,,
Chaetocladius vitellinus gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,6,CG,,
Chaetocladius sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,6,CG,,
Corynoneura nr. celeripes,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,4,CG,,
Corynoneura lobata,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,4,CG,,
Corynoneura sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,4,CG,,
Cricotopus absurdus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,SH,,
Cricotopus annulator gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,7,SH,,
Cricotopus bicinctus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,7,SC,7,6
Cricotopus nr. cylindraceus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,7,SH,,
Cricotopus elegans,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,7,SH,,
Cricotopus festivellus gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,7,CG,,
Cricotopus fugax,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,7,SH,,
Cricotopus intersectus gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,7,SH,,
Cricotopus nostocicola,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,7,SH,,
Undetermined Polydesmida,ARTHROPODA,DIPLOPODA,POLYDESMIDA,,,6,CG,,
Isotomurus sp.,ARTHROPODA,INSECTA,COLLEMBOLA,Isotomidae,,5,CG,,
Branchiura sowerbyi,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,6,CG,,
Branchiura sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDAE,Tubificidae,,6,CG,,
Ilyodrilus templetoni,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,CG,,
Ilyodrilus sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,CG,,
Isochaetides freyi,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,8,CG,,
Isochaetides sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,8,CG,,
Limnodrilus cervix,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,CG,,
Limnodrilus claparedeianus,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,CG,,
Limnodrilus hoffmeisteri,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,CG,,
Limnodrilus profundicola,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,CG,,
Limnodrilus udekemianus,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,CG,,
Limnodrilus sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,CG,,
Potamothrix moldaviensis,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,8,CG,,
Tanytarsus sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,CF,,
Micropsectra/Tanytarsus Complex,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,CF,,
Zavrelia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,4,CF,9,9
Zavreliella sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,,,
Undetermined Tanytarsini,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,CF,,
Undetermined Chironominae,ARTHROPODA,INSECTA,DIPTERA,Chrionomidae,Chironominae,6,CG,,
Undetermined Chironomidae,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,,6,CG,,
Ostrocerca sp.,ARTHROPODA,INSECTA,PLECOPTERA,Nemouridae,,2,SH,,
Shipsa rotunda,ARTHROPODA,INSECTA,PLECOPTERA,Nemouridae,,2,SH,,
Shipsa sp.,ARTHROPODA,INSECTA,PLECOPTERA,Nemouridae,,2,SH,,
Soyedina sp.,ARTHROPODA,INSECTA,PLECOPTERA,Nemouridae,,2,CG,,
Undetermined Nemouridae,ARTHROPODA,INSECTA,PLECOPTERA,Nemouridae,,2,SH,,
Strophopteryx fasciata,ARTHROPODA,INSECTA,PLECOPTERA,Taeniopterygidae,,3,SH,,
Strophopteryx sp.,ARTHROPODA,INSECTA,PLECOPTERA,Taeniopterygidae,,3,SH,,
Taenionema atlanticum,ARTHROPODA,INSECTA,PLECOPTERA,Taeniopterygidae,,2,SH,,
Taenionema sp.,ARTHROPODA,INSECTA,PLECOPTERA,Taeniopterygidae,,2,SH,,
Taeniopteryx burksi,ARTHROPODA,INSECTA,PLECOPTERA,Taeniopterygidae,,2,SH,,
Taeniopteryx lonicera,ARTHROPODA,INSECTA,PLECOPTERA,Taeniopterygidae,,2,SH,,
Taeniopteryx nivalis,ARTHROPODA,INSECTA,PLECOPTERA,Taeniopterygidae,,2,SH,,
Taeniopteryx parvula,ARTHROPODA,INSECTA,PLECOPTERA,Taeniopterygidae,,2,SH,,
Taeniopteryx sp.,ARTHROPODA,INSECTA,PLECOPTERA,Taeniopterygidae,,2,SH,,
Undetermined Taeniopterygidae,ARTHROPODA,INSECTA,PLECOPTERA,Taeniopterygidae,,2,SH,,
Acroneuria abnormis,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,0,PR,0,0
Acroneuria arenosa,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,0,PR,,
Acroneuria carolinensis,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,0,PR,,
Acroneuria lycorias,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,0,PR,,
Acroneuria sp.,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,0,PR,0,0
Agnetina annulipes,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,2,PR,,
Agnetina capitata,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,2,PR,3,6
Agnetina flavescens,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,2,PR,,
Agnetina sp.,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,2,PR,,
Claassenia sabulosa,ARTHRODPODA,INSECTA,PLECOPTERA,Perlidae,Acroneuriinae,3,PR,,
Claasenia sp.,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,Acroneuriinae,3,PR,,
Eccoptura xanthenes,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,3,PR,,
Eccoptura sp.,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,3,PR,,
Neoperla sp.,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,3,PR,5,5
Paragnetina immarginata,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,1,PR,1,2
Paragnetina media,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,4,PR,6,3
Paragnetina sp.,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,2,PR,1,6
Perlesta sp. 1,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,4,PR,,
Perlesta sp. 2,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,4,PR,,
Perlesta placida,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,4,PR,,
Perlesta sp.,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,4,PR,,
Undetermined Perlidae,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,3,PR,5,7
Tallaperla sp.,ARTHROPODA,INSECTA,PLECOPTERA,Peltoperlidae,,0,SH,,
Undetermined Peltoperlidae,ARTHROPODA,INSECTA,PLECOPTERA,Peltoperlidae,,0,SH,,
Alloperla sp.,ARTHROPODA,INSECTA,PLECOPTERA,Chloroperlidae,,0,CG,,
Haploperla brevis,ARTHROPODA,INSECTA,PLECOPTERA,Chloroperlidae,,1,PR,,
Haploperla sp.,ARTHROPODA,INSECTA,PLECOPTERA,Chloroperildae,,1,PR,,
Rasvena terna,ARTHROPODA,INSECTA,PLECOPTERA,Chloroperlidae,,0,CG,,
Rasvena sp.,ARTHROPODA,INSECTA,PLECOPTERA,Chloroperlidae,,0,CG,,
Suwallia marginata,ARTHROPODA,INSECTA,PLECOPTERA,Chloroperlidae,,0,PR,,
Sweltsa sp.,ARTHROPODA,INSECTA,PLECOPTERA,Chloroperlidae,,0,PR,,
Undetermined Chloroperlidae,ARTHROPODA,INSECTA,PLECOPTERA,Chloroperlidae,,0,PR,,
Cultus decisus,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,PR,,
Cultus sp.,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,PR,,
Diura sp.,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,PR,,
Helopicus subvarians,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,PR,,
Helopicus sp.,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,PR,,
Isogenoides hansoni,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,0,PR,,
Isogenoides sp.,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,0,PR,,
Isoperla frisoni,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,PR,,
Isoperla holochlora,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,PR,,
Isoperla marlynia,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,PR,,
Isoperla namata,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,PR,,
Isoperla nana,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,PR,,
Isoperla transmarina,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,PR,,
Isoperla sp.,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,PR,,
Malirekus iroquois,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,PR,,
Malirekus sp.,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,PR,,
Remenus sp.,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,Perlodinae,2,PR,,
Undetermined Perlodidae,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,PR,,
Pteronarcys biloba,ARTHROPODA,INSECTA,PLECOPTERA,Pteronarcidae,,0,SH,,
Pteronarcys comstocki,ARTHROPODA,INSECTA,PLECOPTERA,Pteronarcidae,,0,SH,,
Pteronarcys dorsata,ARTHROPODA,INSECTA,PLECOPTERA,Pteronarcidae,,0,SH,,
Pteronarcys proteus,ARTHROPODA,INSECTA,PLECOPTERA,Pteronarcidae,,0,SH,,
Pteronarcys sp.,ARTHROPODA,INSECTA,PLECOPTERA,Pteronarcidae,,0,SH,,
Undetermined Pteronarcidae,ARTHROPODA,INSECTA,PLECOPTERA,Pteronarcidae,,0,SH,,
Undetermined Plecoptera,ARTHROPODA,INSECTA,PLECOPTERA,,,2,,,
Haliplus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Haliplidae,,5,SH,,
Peltodytes sp.,ARTHROPODA,INSECTA,COLEOPTERA,Haliplidae,,5,SH,,
Undetermined Haliplidae,ARTHROPODA,INSECTA,COLEOPTERA,Haliplidae,,5,SH,,
Agabetes sp.,ARTHROPODA,INSECTA,COLEOPTERA,Dytiscidae,,5,PR,,
Agabus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Dytiscidae,,5,PR,,
Celina sp.,ARTHROPODA,INSECTA,COLEOPTERA,Dytiscidae,,5,PR,,
Pristina synclites,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,CG,,
Pristina sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,CG,,
Pristinella jenkinae,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,CG,,
Stenonema sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Heptageniidae,,3,SC,5,5
Undetermined Heptageniidae,ARTHROPODA,INSECTA,EPHEMEROPTERA,Heptageniidae,,3,SC,5,2
Choroterpes sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,2,CG,,
Habrophlebia vibrans,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,4,CG,,
Habrophlebia sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,4,CG,,
Habrophlebiodes sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,6,SC,,
Leptophlebia sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,4,CG,,
Paraleptophlebia adoptiva,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,1,CG,,
Paraleptophlebia debilis,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,1,CG,,
Paraleptophlebia guttata,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,1,CG,,
Paraleptophlebia moerens,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,1,CG,,
Paraleptophlebia mollis,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,1,CG,2,1
Paraleptophlebia volitans,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,1,CG,,
Paraleptophlebia sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,1,CG,2,3
Undetermined Leptophlebiidae,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,4,CG,,
Siphloplecton sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Metretopodidae,,2,CG,,
Undetermined Metretopodidae,ARTHROPODA,INSECTA,EPHEMEROPTERA,Metretopodidae,,2,CG,,
Attenella attenuata,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,1,CG,,
Chaetogaster diaphanus,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,7,PR,,
Chaetogaster diastrophus,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,7,PR,,
Chaetogaster limnaei,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,7,PR,,
Chaetogaster setosus,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,7,PR,,
Chaetogaster sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,7,PR,,
Dero digitata,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,10,CG,,
Dero furcata,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,10,CG,,
Dero nivea,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,10,CG,,
Dero obtusa,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,10,CG,,
Dero pectinata,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,10,CG,,
Dero sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,10,CG,,
Haemonais waldvogeli,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,CG,,
Haemonais sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,CG,,
Nais barbata,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,CG,,
Nais behningi,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,CG,,
Nais bretscheri,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,CG,,
Attenella margarita,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,1,CG,,
Attenella sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,1,CG,,
Dannella simplex,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,2,CG,,
Dannella sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,2,CG,,
Drunella cornuta,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,0,CG,,
