Phylum,Class,Order,Family,Genus,FFG,TV,MBSS UTV,MACS TV,Habitat
Arthropoda,Crustacea,Decapoda,Cambaridae,Procambarus,CG,9,2.8,9,
Arthropoda,Insecta,Ephemeroptera,Siphlonuridae,Siphlonurus,CG,,7,,SW
Arthropoda,Arachnida,Acari,AcariformesF,AcariformesG,,,,,
Arthropoda,Crustacea,Amphipoda,AmphipodaF,AmphipodaG,,,6,5,
Arthropoda,Crustacea,Isopoda,Asellidae,AsellidaeG,,,3.3,7,
Arthropoda,Insecta,Ephemeroptera,Baetidae,BaetidaeG,CG,,2.3,4,SW
Arthropoda,Insecta,Plecoptera,Capniidae,CapniidaeG,SH,,3.7,1,SP
Arthropoda,Crustacea,Amphipoda,Crangonyctidae,CrangonyctidaeG,,,6.5,,
Arthropoda,Insecta,Diptera,DipteraF,DipteraG,,,6,,
Arthropoda,Insecta,Coleoptera,Dytiscidae,DytiscidaeG,P,,5.4,5,SW
Arthropoda,Insecta,Ephemeroptera,EphemeropteraF,EphemeropteraG,CG,,2.9,,
Arthropoda,Insecta,Lepidoptera,LepidopteraF,LepidopteraG,SC,,6.7,,
Arthropoda,Insecta,Trichoptera,Leptoceridae,LeptoceridaeG,CG,,4.1,,
Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,LeptophlebiidaeG,CG,,1.7,,SW
Arthropoda,Insecta,Plecoptera,Leuctridae,LeuctridaeG,SH,,0.8,,SP
Arthropoda,Insecta,Trichoptera,Limnephilidae,LimnephilidaeG,SH,,3.4,4,CL
Arthropoda,Insecta,Plecoptera,Nemouridae,NemouridaeG,SH,,2.9,,SP
Arthropoda,Insecta,Odonata,OdonataF,OdonataG,P,,6.6,,
Arthropoda,Insecta,Trichoptera,Phryganeidae,PhryganeidaeG,SH,,4.3,4,
Arthropoda,Insecta,Plecoptera,PlecopteraF,PlecopteraG,,,2.4,,
Arthropoda,Insecta,Diptera,Simuliidae,SimuliidaeG,F,,3.2,,CG
Arthropoda,Insecta,Trichoptera,TrichopteraF,TrichopteraG,,,4.6,,
Mollusca,Bivalvia,Unionoida,Unionidae,UnionidaeG,F,,6,,BU
Mollusca,Gastropoda,Limnophila,Ancylidae,AncylidaeG,SC,,7,,CL
Arthropoda,Crustacea,Decapoda,Cambaridae,CambaridaeG,CG,6,2.8,6,SP
Mollusca,Gastropoda,Limnophila,Physidae,PhysidaeG,,,7,,CL
Platyhelminthes,Turbellaria,Tricladida,Planariidae,PlanariidaeG,,,8.4,,
