Phylum,Class,Order,Family,Genus,FFG,TV,MBSS UTV,MACS TV,Habitat
Arthropoda,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,P,,2.1,,CG
Arthropoda,Insecta,Trichoptera,Uenoidae,Neophylax,SC,,2.7,,CG
Arthropoda,Insecta,Lepidoptera,Noctuidae,Archanara,SH,,6.7,,BU
Arthropoda,Insecta,Lepidoptera,Pyralidae,Acentria,SH,,6.7,,CL
Arthropoda,Insecta,Lepidoptera,Pyralidae,Crambus,,,5,,
Arthropoda,Insecta,Lepidoptera,Pyralidae,Petrophila,SC,,6.7,,CG
Arthropoda,Insecta,Lepidoptera,Tortricidae,Archips,SH,,6.7,,BU
Arthropoda,Insecta,Lepidoptera,Tortricidae,Bactra,,,6.7,,
Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabus,P,5,5.4,5,SW
Arthropoda,Insecta,Coleoptera,Dytiscidae,Liodessus,P,,5.4,,CL
Arthropoda,Insecta,Coleoptera,Dytiscidae,Oreodytes,P,,5.4,,CL
Arthropoda,Insecta,Coleoptera,Dytiscidae,Potamonectes,P,,5.4,,CL
Arthropoda,Insecta,Coleoptera,Dryopidae,Helichus,SC,5,6.4,5,CG
Arthropoda,Insecta,Coleoptera,Elmidae,Ancyronyx,SC,2,7.8,2,CG
Arthropoda,Insecta,Coleoptera,Elmidae,Dubiraphia,SC,6,5.7,6,CG
Arthropoda,Insecta,Coleoptera,Elmidae,Macronychus,SC,2,6.8,2,CG
Arthropoda,Insecta,Coleoptera,Elmidae,Microcylloepus,CG,2,4.8,2,
Arthropoda,Insecta,Coleoptera,Elmidae,Optioservus,SC,4,5.4,4,CG
Arthropoda,Insecta,Coleoptera,Elmidae,Oulimnius,SC,,2.7,,CG
Arthropoda,Insecta,Coleoptera,Elmidae,Promoresia,SC,2,0,2,CG
Arthropoda,Insecta,Coleoptera,Elmidae,Stenelmis,SC,5,7.1,5,CG
Arthropoda,Insecta,Coleoptera,Hydrophilidae,Berosus,CG,,4.1,,SW
Arthropoda,Insecta,Coleoptera,Hydrophilidae,Paracymus,,,4.1,,BU
Arthropoda,Insecta,Coleoptera,Limnichidae,LimnichidaeG,CG,,,,CG
Arthropoda,Insecta,Coleoptera,Psephenidae,Ectopria,SC,5,2.2,5,CG
Arthropoda,Insecta,Coleoptera,Psephenidae,Psephenus,SC,,4.4,,CG
Arthropoda,Insecta,Coleoptera,Salpingidae,SalpingidaeG,P,,,,CG
Arthropoda,Insecta,Coleoptera,Staphylinidae,Psephidonus,P,,,,CL
Arthropoda,Insecta,Megaloptera,Corydalidae,Corydalus,P,5,1.4,5,CG
Arthropoda,Insecta,Megaloptera,Corydalidae,Nigronia,P,2,1.4,2,CG
Arthropoda,Insecta,Plecoptera,Perlidae,Attaneuria,P,,2.2,,CG
Mollusca,Gastropoda,Limnophila,Ancylidae,Laevapex,,,,6,
Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabetes,P,,5.4,,
Arthropoda,Insecta,Plecoptera,Perlidae,Agnetina,P,,2.2,2,CG
Arthropoda,Insecta,Odonata,Gomphidae,Arigomphus,P,,2.2,,BU
Arthropoda,Insecta,Coleoptera,Dytiscidae,Dytiscus,P,,5.4,,
Arthropoda,Insecta,Odonata,Gomphidae,Hagenius,P,,2.2,1,SP
Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Leptophlebia,CG,,1.8,,SW
Arthropoda,Insecta,Plecoptera,Leuctridae,Paraleuctra,SH,,0.8,,SP
Arthropoda,Insecta,Coleoptera,Scirtidae,Scirtes,CG,,4,,CL
Arthropoda,Insecta,Odonata,Corduliidae,Somatochlora,P,,1,1,SP
Arthropoda,Insecta,Lepidoptera,Noctuidae,NoctuidaeG,SH,,6.7,,BU
Nemertia,Enopla,Hoplonemertia,Tetrastemmatidae,Prostoma,,,7.3,,
Platyhelminthes,Turbellaria,Tricladida,Planariidae,Dugesia,,,9.3,,
Platyhelminthes,Microturbellaria,,MicroturbellariaF,MicroturbellariaG,,,4,,
Mollusca,Bivalvia,Pelecypoda,Sphaeriidae,Musculium,F,,5.5,,BU
Arthropoda,Insecta,Diptera,Muscidae,MuscidaeG,P,,7,,SP
Arthropoda,Insecta,Coleoptera,Dytiscidae,Hygrotus,P,,5.4,,
Arthropoda,Insecta,Diptera,Dixidae,Dixella,CG,,5.8,1,
Arthropoda,Insecta,Plecoptera,Perlidae,Beloneuria,P,,2.2,,CG
